sample_id,official_movie_path,relative_path,status,surprise_average,surprise_maximum,plausibility_average,plausibility_maximum,selected_aggregation,selected_surprise,selected_plausibility,error
O1/0001/1,,videos/sample_000000_O1__0001__1.pt,ok,0.5609527826,0.5956982970,0.5706650850,0.5511775458,average,0.5609527826,0.5706650850,
O1/0001/2,,videos/sample_000001_O1__0001__2.pt,ok,0.5605193973,0.6043277979,0.5709124565,0.5464416224,average,0.5605193973,0.5709124565,
O1/0001/3,,videos/sample_000002_O1__0001__3.pt,ok,0.5531246662,0.5863900185,0.5751498484,0.5563320123,average,0.5531246662,0.5751498484,
O1/0001/4,,videos/sample_000003_O1__0001__4.pt,ok,0.5590216517,0.5935954452,0.5717681787,0.5523378101,average,0.5590216517,0.5717681787,
O1/0002/1,,videos/sample_000004_O1__0002__1.pt,ok,0.5258762836,0.5595302582,0.5910372211,0.5714774477,average,0.5258762836,0.5910372211,
O1/0002/2,,videos/sample_000005_O1__0002__2.pt,ok,0.5341117382,0.5649968386,0.5861897489,0.5683619436,average,0.5341117382,0.5861897489,
O1/0002/3,,videos/sample_000006_O1__0002__3.pt,ok,0.5327757597,0.5556162000,0.5869734092,0.5737186269,average,0.5327757597,0.5869734092,
O1/0002/4,,videos/sample_000007_O1__0002__4.pt,ok,0.5242204070,0.5471614599,0.5920167166,0.5785898321,average,0.5242204070,0.5920167166,
O1/0003/1,,videos/sample_000008_O1__0003__1.pt,ok,0.6124444008,0.6424750686,0.5420243237,0.5259889529,average,0.6124444008,0.5420243237,
O1/0003/2,,videos/sample_000009_O1__0003__2.pt,ok,0.6107994318,0.6424750686,0.5429166707,0.5259889529,average,0.6107994318,0.5429166707,
O1/0003/3,,videos/sample_000010_O1__0003__3.pt,ok,0.6121352911,0.6434366703,0.5421918946,0.5254834041,average,0.6121352911,0.5421918946,
O1/0003/4,,videos/sample_000011_O1__0003__4.pt,ok,0.6121341586,0.6434366703,0.5421925086,0.5254834041,average,0.6121341586,0.5421925086,
O1/0004/1,,videos/sample_000012_O1__0004__1.pt,ok,0.5577654839,0.5814673305,0.5724868668,0.5590774131,average,0.5577654839,0.5724868668,
O1/0004/2,,videos/sample_000013_O1__0004__2.pt,ok,0.5579401255,0.5799182653,0.5723868955,0.5599441315,average,0.5579401255,0.5723868955,
O1/0004/3,,videos/sample_000014_O1__0004__3.pt,ok,0.5565791726,0.5799182653,0.5731664174,0.5599441315,average,0.5565791726,0.5731664174,
O1/0004/4,,videos/sample_000015_O1__0004__4.pt,ok,0.5586673021,0.5814673305,0.5719708204,0.5590774131,average,0.5586673021,0.5719708204,
O1/0005/1,,videos/sample_000016_O1__0005__1.pt,ok,0.5479623079,0.5824635625,0.5781266551,0.5585207196,average,0.5479623079,0.5781266551,
O1/0005/2,,videos/sample_000017_O1__0005__2.pt,ok,0.5501591563,0.5873546600,0.5768579925,0.5557956101,average,0.5501591563,0.5768579925,
O1/0005/3,,videos/sample_000018_O1__0005__3.pt,ok,0.5491643548,0.5907830596,0.5774321372,0.5538933833,average,0.5491643548,0.5774321372,
O1/0005/4,,videos/sample_000019_O1__0005__4.pt,ok,0.5456023216,0.5789676905,0.5794926373,0.5604766534,average,0.5456023216,0.5794926373,
O1/0006/1,,videos/sample_000020_O1__0006__1.pt,ok,0.5508688092,0.5770252943,0.5764487688,0.5615663791,average,0.5508688092,0.5764487688,
O1/0006/2,,videos/sample_000021_O1__0006__2.pt,ok,0.5471422076,0.5661628246,0.5786009714,0.5676996277,average,0.5471422076,0.5786009714,
O1/0006/3,,videos/sample_000022_O1__0006__3.pt,ok,0.5470009446,0.5779420733,0.5786827121,0.5610517828,average,0.5470009446,0.5786827121,
O1/0006/4,,videos/sample_000023_O1__0006__4.pt,ok,0.5417413116,0.5604590774,0.5817343891,0.5709468949,average,0.5417413116,0.5817343891,
O1/0007/1,,videos/sample_000024_O1__0007__1.pt,ok,0.5520871282,0.5875269175,0.5757468979,0.5556998784,average,0.5520871282,0.5757468979,
O1/0007/2,,videos/sample_000025_O1__0007__2.pt,ok,0.5467383862,0.5890966654,0.5788346700,0.5548282540,average,0.5467383862,0.5788346700,
O1/0007/3,,videos/sample_000026_O1__0007__3.pt,ok,0.5513395667,0.5885164142,0.5761774650,0.5551502872,average,0.5513395667,0.5761774650,
O1/0007/4,,videos/sample_000027_O1__0007__4.pt,ok,0.5396687984,0.5612589717,0.5829412915,0.5704903803,average,0.5396687984,0.5829412915,
O1/0008/1,,videos/sample_000028_O1__0008__1.pt,ok,0.5474340916,0.5799053907,0.5784321117,0.5599513406,average,0.5474340916,0.5784321117,
O1/0008/2,,videos/sample_000029_O1__0008__2.pt,ok,0.5403238535,0.5616194606,0.5825595579,0.5702847619,average,0.5403238535,0.5825595579,
O1/0008/3,,videos/sample_000030_O1__0008__3.pt,ok,0.5452806354,0.5754715800,0.5796790821,0.5624395710,average,0.5452806354,0.5796790821,
