sample_id,official_movie_path,relative_path,status,surprise_average,surprise_maximum,plausibility_average,plausibility_maximum,selected_aggregation,selected_surprise,selected_plausibility,error
O1/0001/1,,videos/sample_000000_O1__0001__1.pt,ok,0.5808389783,0.6132715940,0.5594288210,0.5415761503,average,0.5808389783,0.5594288210,
O1/0001/2,,videos/sample_000001_O1__0001__2.pt,ok,0.5809322596,0.6134937406,0.5593766392,0.5414558544,average,0.5809322596,0.5593766392,
O1/0001/3,,videos/sample_000002_O1__0001__3.pt,ok,0.5748721361,0.6060082912,0.5627768230,0.5455241021,average,0.5748721361,0.5627768230,
O1/0001/4,,videos/sample_000003_O1__0001__4.pt,ok,0.5795792937,0.6114661694,0.5601339689,0.5425548084,average,0.5795792937,0.5601339689,
O1/0002/1,,videos/sample_000004_O1__0002__1.pt,ok,0.5485199094,0.5814670920,0.5778043806,0.5590775464,average,0.5485199094,0.5778043806,
O1/0002/2,,videos/sample_000005_O1__0002__2.pt,ok,0.5555444360,0.5864382386,0.5737598007,0.5563051866,average,0.5555444360,0.5737598007,
O1/0002/3,,videos/sample_000006_O1__0002__3.pt,ok,0.5545153618,0.5785847306,0.5743505460,0.5606913346,average,0.5545153618,0.5743505460,
O1/0002/4,,videos/sample_000007_O1__0002__4.pt,ok,0.5472440720,0.5707557201,0.5785420356,0.5650982212,average,0.5472440720,0.5785420356,
O1/0003/1,,videos/sample_000008_O1__0003__1.pt,ok,0.6181614399,0.6412014365,0.5389343905,0.5266592961,average,0.6181614399,0.5389343905,
O1/0003/2,,videos/sample_000009_O1__0003__2.pt,ok,0.6168273687,0.6412014365,0.5396538472,0.5266592961,average,0.6168273687,0.5396538472,
O1/0003/3,,videos/sample_000010_O1__0003__3.pt,ok,0.6179957986,0.6420237422,0.5390236677,0.5262263992,average,0.6179957986,0.5390236677,
O1/0003/4,,videos/sample_000011_O1__0003__4.pt,ok,0.6178839207,0.6420237422,0.5390839760,0.5262263992,average,0.6178839207,0.5390839760,
O1/0004/1,,videos/sample_000012_O1__0004__1.pt,ok,0.5733525157,0.5956985354,0.5636326803,0.5511774144,average,0.5733525157,0.5636326803,
O1/0004/2,,videos/sample_000013_O1__0004__2.pt,ok,0.5735729337,0.5946973562,0.5635084592,0.5517295181,average,0.5735729337,0.5635084592,
O1/0004/3,,videos/sample_000014_O1__0004__3.pt,ok,0.5724843740,0.5944383144,0.5641222058,0.5518724576,average,0.5724843740,0.5641222058,
O1/0004/4,,videos/sample_000015_O1__0004__4.pt,ok,0.5740267634,0.5956985354,0.5632527803,0.5511774144,average,0.5740267634,0.5632527803,
O1/0005/1,,videos/sample_000016_O1__0005__1.pt,ok,0.5668973923,0.5976262689,0.5672827670,0.5501159148,average,0.5668973923,0.5672827670,
O1/0005/2,,videos/sample_000017_O1__0005__2.pt,ok,0.5686432123,0.6025921702,0.5662932574,0.5473908651,average,0.5686432123,0.5662932574,
O1/0005/3,,videos/sample_000018_O1__0005__3.pt,ok,0.5673890114,0.6015007496,0.5670039485,0.5479886250,average,0.5673890114,0.5670039485,
O1/0005/4,,videos/sample_000019_O1__0005__4.pt,ok,0.5645803213,0.5944896936,0.5685987255,0.5518441036,average,0.5645803213,0.5685987255,
O1/0006/1,,videos/sample_000020_O1__0006__1.pt,ok,0.5683970451,0.5930794477,0.5664326774,0.5526228885,average,0.5683970451,0.5664326774,
O1/0006/2,,videos/sample_000021_O1__0006__2.pt,ok,0.5656388998,0.5851594806,0.5679971375,0.5570170213,average,0.5656388998,0.5679971375,
O1/0006/3,,videos/sample_000022_O1__0006__3.pt,ok,0.5653790832,0.5937462449,0.5681447318,0.5522545239,average,0.5653790832,0.5681447318,
O1/0006/4,,videos/sample_000023_O1__0006__4.pt,ok,0.5610398054,0.5820389986,0.5706154263,0.5587578977,average,0.5610398054,0.5706154263,
O1/0007/1,,videos/sample_000024_O1__0007__1.pt,ok,0.5733343959,0.6071228385,0.5636428933,0.5449164284,average,0.5733343959,0.5636428933,
O1/0007/2,,videos/sample_000025_O1__0007__2.pt,ok,0.5679758191,0.6049169302,0.5666713238,0.5461197908,average,0.5679758191,0.5666713238,
O1/0007/3,,videos/sample_000026_O1__0007__3.pt,ok,0.5727412701,0.6074372530,0.5639773036,0.5447451257,average,0.5727412701,0.5639773036,
