sample_id,official_movie_path,relative_path,status,surprise_average,surprise_maximum,plausibility_average,plausibility_maximum,selected_aggregation,selected_surprise,selected_plausibility,error
O1/0001/1,,videos/sample_000000_O1__0001__1.pt,ok,0.5859618187,0.6097931266,0.5565702846,0.5434632856,average,0.5859618187,0.5565702846,
O1/0001/2,,videos/sample_000001_O1__0001__2.pt,ok,0.5863359571,0.6143658757,0.5563620892,0.5409838375,average,0.5863359571,0.5563620892,
O1/0001/3,,videos/sample_000002_O1__0001__3.pt,ok,0.5806419849,0.6031856537,0.5595390356,0.5470660941,average,0.5806419849,0.5595390356,
O1/0001/4,,videos/sample_000003_O1__0001__4.pt,ok,0.5841866732,0.6085769534,0.5575591553,0.5441246331,average,0.5841866732,0.5575591553,
O1/0002/1,,videos/sample_000004_O1__0002__1.pt,ok,0.5557146668,0.5841232538,0.5736621374,0.5575945164,average,0.5557146668,0.5736621374,
O1/0002/2,,videos/sample_000005_O1__0002__2.pt,ok,0.5607764125,0.5884519815,0.5707657421,0.5551860581,average,0.5607764125,0.5707657421,
O1/0002/3,,videos/sample_000006_O1__0002__3.pt,ok,0.5599963665,0.5805749297,0.5712111393,0.5595765569,average,0.5599963665,0.5712111393,
O1/0002/4,,videos/sample_000007_O1__0002__4.pt,ok,0.5547893047,0.5734961629,0.5741932282,0.5635517219,average,0.5547893047,0.5741932282,
O1/0003/1,,videos/sample_000008_O1__0003__1.pt,ok,0.6188983917,0.6446835995,0.5385373682,0.5248285719,average,0.6188983917,0.5385373682,
O1/0003/2,,videos/sample_000009_O1__0003__2.pt,ok,0.6173574924,0.6446835995,0.5393678397,0.5248285719,average,0.6173574924,0.5393678397,
O1/0003/3,,videos/sample_000010_O1__0003__3.pt,ok,0.6188311577,0.6429671049,0.5385735774,0.5257302109,average,0.6188311577,0.5385735774,
O1/0003/4,,videos/sample_000011_O1__0003__4.pt,ok,0.6187841296,0.6429671049,0.5385989061,0.5257302109,average,0.6187841296,0.5385989061,
O1/0004/1,,videos/sample_000012_O1__0004__1.pt,ok,0.5779292583,0.5984711051,0.5610589727,0.5496513532,average,0.5779292583,0.5610589727,
O1/0004/2,,videos/sample_000013_O1__0004__2.pt,ok,0.5777528882,0.5981705785,0.5611579355,0.5498165628,average,0.5777528882,0.5611579355,
O1/0004/3,,videos/sample_000014_O1__0004__3.pt,ok,0.5764611959,0.5965113640,0.5618832472,0.5507295837,average,0.5764611959,0.5618832472,
O1/0004/4,,videos/sample_000015_O1__0004__4.pt,ok,0.5786830187,0.5984711051,0.5606362280,0.5496513532,average,0.5786830187,0.5606362280,
O1/0005/1,,videos/sample_000016_O1__0005__1.pt,ok,0.5667896867,0.5938186049,0.5673438699,0.5522145642,average,0.5667896867,0.5673438699,
O1/0005/2,,videos/sample_000017_O1__0005__2.pt,ok,0.5687131286,0.5994485617,0.5662536657,0.5491143553,average,0.5687131286,0.5662536657,
O1/0005/3,,videos/sample_000018_O1__0005__3.pt,ok,0.5684627295,0.6014935970,0.5663954729,0.5479925445,average,0.5684627295,0.5663954729,
O1/0005/4,,videos/sample_000019_O1__0005__4.pt,ok,0.5655195117,0.5911674500,0.5680649537,0.5536805130,average,0.5655195117,0.5680649537,
O1/0006/1,,videos/sample_000020_O1__0006__1.pt,ok,0.5763560534,0.5992183089,0.5619423281,0.5492408050,average,0.5763560534,0.5619423281,
O1/0006/2,,videos/sample_000021_O1__0006__2.pt,ok,0.5740183592,0.5900224447,0.5632575141,0.5543148432,average,0.5740183592,0.5632575141,
O1/0006/3,,videos/sample_000022_O1__0006__3.pt,ok,0.5735825300,0.6000486612,0.5635030516,0.5487849309,average,0.5735825300,0.5635030516,
O1/0006/4,,videos/sample_000023_O1__0006__4.pt,ok,0.5694763660,0.5876821876,0.5658216446,0.5556136016,average,0.5694763660,0.5658216446,
O1/0007/1,,videos/sample_000024_O1__0007__1.pt,ok,0.5817720294,0.6055892706,0.5589070887,0.5457527358,average,0.5817720294,0.5589070887,
O1/0007/2,,videos/sample_000025_O1__0007__2.pt,ok,0.5791841149,0.6078342795,0.5603553657,0.5445288903,average,0.5791841149,0.5603553657,
O1/0007/3,,videos/sample_000026_O1__0007__3.pt,ok,0.5829351544,0.6092893481,0.5582573878,0.5437371396,average,0.5829351544,0.5582573878,
O1/0007/4,,videos/sample_000027_O1__0007__4.pt,ok,0.5764088035,0.5907431841,0.5619126864,0.5539154706,average,0.5764088035,0.5619126864,
O1/0008/1,,videos/sample_000028_O1__0008__1.pt,ok,0.5777055025,0.6014176607,0.5611845269,0.5480341586,average,0.5777055025,0.5611845269,
