sample_id,official_movie_path,relative_path,status,surprise_average,surprise_maximum,plausibility_average,plausibility_maximum,selected_aggregation,selected_surprise,selected_plausibility,error
O1/0001/1,,videos/sample_000000_O1__0001__1.pt,ok,0.5679435134,0.5987859368,0.5666896309,0.5494783327,average,0.5679435134,0.5666896309,
O1/0001/2,,videos/sample_000001_O1__0001__2.pt,ok,0.5679605007,0.6053773165,0.5666800044,0.5458684226,average,0.5679605007,0.5666800044,
O1/0001/3,,videos/sample_000002_O1__0001__3.pt,ok,0.5614805818,0.5916115046,0.5703639679,0.5534347032,average,0.5614805818,0.5703639679,
O1/0001/4,,videos/sample_000003_O1__0001__4.pt,ok,0.5661799312,0.5977559686,0.5676899164,0.5500445695,average,0.5661799312,0.5676899164,
O1/0002/1,,videos/sample_000004_O1__0002__1.pt,ok,0.5351598263,0.5665469170,0.5855756923,0.5674816205,average,0.5351598263,0.5855756923,
O1/0002/2,,videos/sample_000005_O1__0002__2.pt,ok,0.5412592888,0.5705811381,0.5820148659,0.5651968858,average,0.5412592888,0.5820148659,
O1/0002/3,,videos/sample_000006_O1__0002__3.pt,ok,0.5399682522,0.5612000227,0.5827667537,0.5705240111,average,0.5399682522,0.5827667537,
O1/0002/4,,videos/sample_000007_O1__0002__4.pt,ok,0.5338438749,0.5553089380,0.5863467887,0.5738949358,average,0.5338438749,0.5863467887,
O1/0003/1,,videos/sample_000008_O1__0003__1.pt,ok,0.6158117652,0.6415174603,0.5402021999,0.5264928855,average,0.6158117652,0.5402021999,
O1/0003/2,,videos/sample_000009_O1__0003__2.pt,ok,0.6141300797,0.6415174603,0.5411114144,0.5264928855,average,0.6141300797,0.5411114144,
O1/0003/3,,videos/sample_000010_O1__0003__3.pt,ok,0.6155517101,0.6422179341,0.5403427005,0.5261242202,average,0.6155517101,0.5403427005,
O1/0003/4,,videos/sample_000011_O1__0003__4.pt,ok,0.6155205369,0.6422179341,0.5403595450,0.5261242202,average,0.6155205369,0.5403595450,
O1/0004/1,,videos/sample_000012_O1__0004__1.pt,ok,0.5631224513,0.5853148103,0.5694282730,0.5569305068,average,0.5631224513,0.5694282730,
O1/0004/2,,videos/sample_000013_O1__0004__2.pt,ok,0.5634329915,0.5841438174,0.5692514701,0.5575830504,average,0.5634329915,0.5692514701,
O1/0004/3,,videos/sample_000014_O1__0004__3.pt,ok,0.5619881749,0.5841438174,0.5700745285,0.5575830504,average,0.5619881749,0.5700745285,
O1/0004/4,,videos/sample_000015_O1__0004__4.pt,ok,0.5639669895,0.5853148103,0.5689475721,0.5569305068,average,0.5639669895,0.5689475721,
O1/0005/1,,videos/sample_000016_O1__0005__1.pt,ok,0.5546849966,0.5864344835,0.5742531244,0.5563072755,average,0.5546849966,0.5742531244,
O1/0005/2,,videos/sample_000017_O1__0005__2.pt,ok,0.5567392111,0.5912051797,0.5730746961,0.5536596232,average,0.5567392111,0.5730746961,
O1/0005/3,,videos/sample_000018_O1__0005__3.pt,ok,0.5557118058,0.5935187936,0.5736637786,0.5523801492,average,0.5557118058,0.5736637786,
O1/0005/4,,videos/sample_000019_O1__0005__4.pt,ok,0.5523923039,0.5823019743,0.5755712207,0.5586109773,average,0.5523923039,0.5755712207,
O1/0006/1,,videos/sample_000020_O1__0006__1.pt,ok,0.5567915440,0.5828229189,0.5730447062,0.5583200477,average,0.5567915440,0.5730447062,
O1/0006/2,,videos/sample_000021_O1__0006__2.pt,ok,0.5535415411,0.5711338520,0.5749101328,0.5648845799,average,0.5535415411,0.5749101328,
O1/0006/3,,videos/sample_000022_O1__0006__3.pt,ok,0.5531368852,0.5838967562,0.5751428207,0.5577208246,average,0.5531368852,0.5751428207,
O1/0006/4,,videos/sample_000023_O1__0006__4.pt,ok,0.5480147600,0.5657306910,0.5780963319,0.5679450028,average,0.5480147600,0.5780963319,
O1/0007/1,,videos/sample_000024_O1__0007__1.pt,ok,0.5630279779,0.5941581130,0.5694820714,0.5520271147,average,0.5630279779,0.5694820714,
O1/0007/2,,videos/sample_000025_O1__0007__2.pt,ok,0.5593644977,0.5962191820,0.5715721839,0.5508905205,average,0.5593644977,0.5715721839,
O1/0007/3,,videos/sample_000026_O1__0007__3.pt,ok,0.5633103848,0.5966079831,0.5693212685,0.5506763753,average,0.5633103848,0.5693212685,
O1/0007/4,,videos/sample_000027_O1__0007__4.pt,ok,0.5555987954,0.5761079788,0.5737286123,0.5620817490,average,0.5555987954,0.5737286123,
O1/0008/1,,videos/sample_000028_O1__0008__1.pt,ok,0.5510765314,0.5819998980,0.5763290400,0.5587797459,average,0.5510765314,0.5763290400,
O1/0008/2,,videos/sample_000029_O1__0008__2.pt,ok,0.5436804891,0.5606951714,0.5806073959,0.5708121137,average,0.5436804891,0.5806073959,
O1/0008/3,,videos/sample_000030_O1__0008__3.pt,ok,0.5488401651,0.5783346891,0.5776193651,0.5608315482,average,0.5488401651,0.5776193651,
O1/0008/4,,videos/sample_000031_O1__0008__4.pt,ok,0.5472642183,0.5645436645,0.5785303802,0.5686195689,average,0.5472642183,0.5785303802,
O1/0009/1,,videos/sample_000032_O1__0009__1.pt,ok,0.6147814393,0.6439171433,0.5407590711,0.5252309841,average,0.6147814393,0.5407590711,
O1/0009/2,,videos/sample_000033_O1__0009__2.pt,ok,0.6131804585,0.6439171433,0.5416255093,0.5252309841,average,0.6131804585,0.5416255093,
O1/0009/3,,videos/sample_000034_O1__0009__3.pt,ok,0.6143530607,0.6452600360,0.5409907703,0.5245261287,average,0.6143530607,0.5409907703,
O1/0009/4,,videos/sample_000035_O1__0009__4.pt,ok,0.6148515940,0.6452600360,0.5407211356,0.5245261287,average,0.6148515940,0.5407211356,
O1/0010/1,,videos/sample_000036_O1__0010__1.pt,ok,0.5586173534,0.5975535512,0.5719993903,0.5501559194,average,0.5586173534,0.5719993903,
O1/0010/2,,videos/sample_000037_O1__0010__2.pt,ok,0.5463944674,0.5796198249,0.5790337764,0.5601112665,average,0.5463944674,0.5790337764,
O1/0010/3,,videos/sample_000038_O1__0010__3.pt,ok,0.5607908368,0.5997589827,0.5707575093,0.5489439252,average,0.5607908368,0.5707575093,
O1/0010/4,,videos/sample_000039_O1__0010__4.pt,ok,0.5559439063,0.6019685268,0.5735306464,0.5477323483,average,0.5559439063,0.5735306464,
O1/0011/1,,videos/sample_000040_O1__0011__1.pt,ok,0.6207127571,0.6323343515,0.5375611505,0.5313499945,average,0.6207127571,0.5375611505,
O1/0011/2,,videos/sample_000041_O1__0011__2.pt,ok,0.6186339259,0.6309281588,0.5386798117,0.5320977006,average,0.6186339259,0.5386798117,
O1/0011/3,,videos/sample_000042_O1__0011__3.pt,ok,0.6204513311,0.6319015026,0.5377017013,0.5315800385,average,0.6204513311,0.5377017013,
O1/0011/4,,videos/sample_000043_O1__0011__4.pt,ok,0.6199302673,0.6323343515,0.5379819512,0.5313499945,average,0.6199302673,0.5379819512,
O1/0012/1,,videos/sample_000044_O1__0012__1.pt,ok,0.6172407866,0.6494319439,0.5394307908,0.5223424123,average,0.6172407866,0.5394307908,
O1/0012/2,,videos/sample_000045_O1__0012__2.pt,ok,0.6172153354,0.6492841244,0.5394445201,0.5224196304,average,0.6172153354,0.5394445201,
O1/0012/3,,videos/sample_000046_O1__0012__3.pt,ok,0.6174387336,0.6494319439,0.5393240226,0.5223424123,average,0.6174387336,0.5393240226,
O1/0012/4,,videos/sample_000047_O1__0012__4.pt,ok,0.6160551906,0.6492841244,0.5400707170,0.5224196304,average,0.6160551906,0.5400707170,
O1/0013/1,,videos/sample_000048_O1__0013__1.pt,ok,0.6227184534,0.6500528455,0.5364840466,0.5220181897,average,0.6227184534,0.5364840466,
O1/0013/2,,videos/sample_000049_O1__0013__2.pt,ok,0.6229169965,0.6496264935,0.5363775420,0.5222408007,average,0.6229169965,0.5363775420,
O1/0013/3,,videos/sample_000050_O1__0013__3.pt,ok,0.6212120652,0.6500528455,0.5372928088,0.5220181897,average,0.6212120652,0.5372928088,
O1/0013/4,,videos/sample_000051_O1__0013__4.pt,ok,0.6223694682,0.6496264935,0.5366713043,0.5222408007,average,0.6223694682,0.5366713043,
O1/0014/1,,videos/sample_000052_O1__0014__1.pt,ok,0.5460044742,0.5848251581,0.5792596397,0.5572032758,average,0.5460044742,0.5792596397,
O1/0014/2,,videos/sample_000053_O1__0014__2.pt,ok,0.5305248499,0.5499556065,0.5882961215,0.5769754238,average,0.5305248499,0.5882961215,
O1/0014/3,,videos/sample_000054_O1__0014__3.pt,ok,0.5431613922,0.5914541483,0.5809088656,0.5535217965,average,0.5431613922,0.5809088656,
O1/0014/4,,videos/sample_000055_O1__0014__4.pt,ok,0.5481355786,0.5861255527,0.5780264913,0.5564791626,average,0.5481355786,0.5780264913,
O1/0015/1,,videos/sample_000056_O1__0015__1.pt,ok,0.6167189479,0.6279553175,0.5397123601,0.5336818962,average,0.6167189479,0.5397123601,
O1/0015/2,,videos/sample_000057_O1__0015__2.pt,ok,0.6150423884,0.6282668710,0.5406179789,0.5335156517,average,0.6150423884,0.5406179789,
O1/0015/3,,videos/sample_000058_O1__0015__3.pt,ok,0.6167740822,0.6285986900,0.5396826042,0.5333386504,average,0.6167740822,0.5396826042,
O1/0015/4,,videos/sample_000059_O1__0015__4.pt,ok,0.6157617569,0.6279868484,0.5402292152,0.5336650690,average,0.6157617569,0.5402292152,
O1/0016/1,,videos/sample_000060_O1__0016__1.pt,ok,0.5697014928,0.6016557813,0.5656942773,0.5479036760,average,0.5697014928,0.5656942773,
O1/0016/2,,videos/sample_000061_O1__0016__2.pt,ok,0.5687561035,0.6013706923,0.5662293315,0.5480598996,average,0.5687561035,0.5662293315,
O1/0016/3,,videos/sample_000062_O1__0016__3.pt,ok,0.5697651505,0.5998634100,0.5656582676,0.5488866034,average,0.5697651505,0.5656582676,
O1/0016/4,,videos/sample_000063_O1__0016__4.pt,ok,0.5637500286,0.5820021033,0.5690710249,0.5587785136,average,0.5637500286,0.5690710249,
O1/0017/1,,videos/sample_000064_O1__0017__1.pt,ok,0.6159350872,0.6289281845,0.5401355852,0.5331629472,average,0.6159350872,0.5401355852,
O1/0017/2,,videos/sample_000065_O1__0017__2.pt,ok,0.6173223853,0.6296893358,0.5393867757,0.5327572839,average,0.6173223853,0.5393867757,
O1/0017/3,,videos/sample_000066_O1__0017__3.pt,ok,0.6179130077,0.6296901107,0.5390682958,0.5327568711,average,0.6179130077,0.5390682958,
O1/0017/4,,videos/sample_000067_O1__0017__4.pt,ok,0.6178027987,0.6300765872,0.5391277093,0.5325510129,average,0.6178027987,0.5391277093,
O1/0018/1,,videos/sample_000068_O1__0018__1.pt,ok,0.5556747317,0.5875303149,0.5736850471,0.5556979905,average,0.5556747317,0.5736850471,
O1/0018/2,,videos/sample_000069_O1__0018__2.pt,ok,0.5403354168,0.5590681434,0.5825528216,0.5717415969,average,0.5403354168,0.5825528216,
O1/0018/3,,videos/sample_000070_O1__0018__3.pt,ok,0.5537544489,0.5872617960,0.5747877430,0.5558472259,average,0.5537544489,0.5747877430,
O1/0018/4,,videos/sample_000071_O1__0018__4.pt,ok,0.5516363978,0.5881145597,0.5760064630,0.5553734217,average,0.5516363978,0.5760064630,
O1/0019/1,,videos/sample_000072_O1__0019__1.pt,ok,0.6160616279,0.6410414577,0.5400672404,0.5267435572,average,0.6160616279,0.5400672404,
O1/0019/2,,videos/sample_000073_O1__0019__2.pt,ok,0.6161429882,0.6418204904,0.5400233022,0.5263333665,average,0.6161429882,0.5400233022,
O1/0019/3,,videos/sample_000074_O1__0019__3.pt,ok,0.6143784523,0.6410414577,0.5409770339,0.5267435572,average,0.6143784523,0.5409770339,
O1/0019/4,,videos/sample_000075_O1__0019__4.pt,ok,0.6156890988,0.6418204904,0.5402684686,0.5263333665,average,0.6156890988,0.5402684686,
O1/0020/1,,videos/sample_000076_O1__0020__1.pt,ok,0.5607178807,0.5933620334,0.5707991510,0.5524667473,average,0.5607178807,0.5707991510,
O1/0020/2,,videos/sample_000077_O1__0020__2.pt,ok,0.5604025722,0.5897583961,0.5709791573,0.5544612285,average,0.5604025722,0.5709791573,
O1/0020/3,,videos/sample_000078_O1__0020__3.pt,ok,0.5624162555,0.5936899781,0.5698305429,0.5522855984,average,0.5624162555,0.5698305429,
O1/0020/4,,videos/sample_000079_O1__0020__4.pt,ok,0.5526287556,0.5725080967,0.5754351421,0.5641088235,average,0.5526287556,0.5754351421,
O1/0021/1,,videos/sample_000080_O1__0021__1.pt,ok,0.5514050126,0.5938131213,0.5761397578,0.5522175924,average,0.5514050126,0.5761397578,
O1/0021/2,,videos/sample_000081_O1__0021__2.pt,ok,0.5385524631,0.5568671823,0.5835924128,0.5730013637,average,0.5385524631,0.5835924128,
