sample_id,official_movie_path,relative_path,status,surprise_average,surprise_maximum,plausibility_average,plausibility_maximum,selected_aggregation,selected_surprise,selected_plausibility,error
O1/0001/1,,videos/sample_000000_O1__0001__1.pt,ok,0.5631235838,0.5969979167,0.5694276282,0.5504616899,average,0.5631235838,0.5694276282,
O1/0001/2,,videos/sample_000001_O1__0001__2.pt,ok,0.5626279712,0.6009026766,0.5697099136,0.5483164602,average,0.5626279712,0.5697099136,
O1/0001/3,,videos/sample_000002_O1__0001__3.pt,ok,0.5554364324,0.5879631639,0.5738217721,0.5554575092,average,0.5554364324,0.5738217721,
O1/0001/4,,videos/sample_000003_O1__0001__4.pt,ok,0.5613347292,0.5951698422,0.5704471630,0.5514688952,average,0.5613347292,0.5704471630,
O1/0002/1,,videos/sample_000004_O1__0002__1.pt,ok,0.5264394879,0.5569563508,0.5907044402,0.5729502723,average,0.5264394879,0.5907044402,
O1/0002/2,,videos/sample_000005_O1__0002__2.pt,ok,0.5339350700,0.5623350739,0.5862933191,0.5698768045,average,0.5339350700,0.5862933191,
O1/0002/3,,videos/sample_000006_O1__0002__3.pt,ok,0.5326614380,0.5533478856,0.5870405168,0.5750214781,average,0.5326614380,0.5870405168,
O1/0002/4,,videos/sample_000007_O1__0002__4.pt,ok,0.5249619484,0.5454530716,0.5915778744,0.5795791330,average,0.5249619484,0.5915778744,
O1/0003/1,,videos/sample_000008_O1__0003__1.pt,ok,0.6132642627,0.6415727139,0.5415801208,0.5264637957,average,0.6132642627,0.5415801208,
O1/0003/2,,videos/sample_000009_O1__0003__2.pt,ok,0.6115992665,0.6415727139,0.5424826007,0.5264637957,average,0.6115992665,0.5424826007,
O1/0003/3,,videos/sample_000010_O1__0003__3.pt,ok,0.6130071878,0.6424189806,0.5417193653,0.5260184554,average,0.6130071878,0.5417193653,
O1/0003/4,,videos/sample_000011_O1__0003__4.pt,ok,0.6129327416,0.6424189806,0.5417596957,0.5260184554,average,0.6129327416,0.5417596957,
O1/0004/1,,videos/sample_000012_O1__0004__1.pt,ok,0.5571219921,0.5804947615,0.5728553760,0.5596214189,average,0.5571219921,0.5728553760,
O1/0004/2,,videos/sample_000013_O1__0004__2.pt,ok,0.5573806763,0.5797056556,0.5727072065,0.5600631938,average,0.5573806763,0.5727072065,
O1/0004/3,,videos/sample_000014_O1__0004__3.pt,ok,0.5559115410,0.5797056556,0.5735492092,0.5600631938,average,0.5559115410,0.5735492092,
